"No. do Periodo";Data;"Altura Mediado Medidor(m)"
1;01/10/2000;7.59
2;02/10/2000;7.6
3;03/10/2000;7.82
4;04/10/2000;8.17
5;05/10/2000;8.16
6;06/10/2000;8.16
7;07/10/2000;8.21
8;08/10/2000;8.21
9;09/10/2000;8.19
10;10/10/2000;8.17
11;11/10/2000;8.16
12;12/10/2000;8.14
13;13/10/2000;8.13
14;14/10/2000;8.11
15;15/10/2000;8.08
16;16/10/2000;8.06
17;17/10/2000;8.04
18;18/10/2000;8.02
19;19/10/2000;8
20;20/10/2000;7.99
21;21/10/2000;7.97
22;22/10/2000;7.95
23;23/10/2000;7.93
24;24/10/2000;7.91
25;25/10/2000;7.89
26;26/10/2000;7.87
27;27/10/2000;7.85
28;28/10/2000;7.84
29;29/10/2000;7.81
30;30/10/2000;7.8
31;31/10/2000;7.78
32;01/11/2000;7.77
33;02/11/2000;7.75
34;03/11/2000;7.73
35;04/11/2000;7.72
36;05/11/2000;7.7
37;06/11/2000;7.68
38;07/11/2000;7.67
39;08/11/2000;7.66
40;09/11/2000;7.65
41;10/11/2000;7.65
42;11/11/2000;7.64
43;12/11/2000;7.63
44;13/11/2000;7.62
45;14/11/2000;7.61
46;15/11/2000;7.6
47;16/11/2000;7.59
48;17/11/2000;7.58
49;18/11/2000;7.57
50;19/11/2000;7.56
51;20/11/2000;7.56
52;21/11/2000;7.55
53;22/11/2000;7.53
54;23/11/2000;7.52
55;24/11/2000;7.51
56;25/11/2000;7.51
57;26/11/2000;7.51
58;27/11/2000;7.5
59;28/11/2000;7.49
60;29/11/2000;7.48
61;30/11/2000;7.47
62;01/12/2000;7.46
63;02/12/2000;7.45
64;03/12/2000;7.44
65;04/12/2000;7.44
66;05/12/2000;7.43
67;06/12/2000;7.41
68;07/12/2000;7.41
69;08/12/2000;7.41
70;09/12/2000;7.4
71;10/12/2000;7.42
72;11/12/2000;7.47
73;12/12/2000;7.47
74;13/12/2000;7.46
75;14/12/2000;7.46
76;15/12/2000;7.45
77;16/12/2000;7.45
78;17/12/2000;7.44
79;18/12/2000;7.43
80;19/12/2000;7.43
81;20/12/2000;7.41
82;21/12/2000;7.4
83;22/12/2000;7.39
84;23/12/2000;7.39
85;24/12/2000;7.39
86;25/12/2000;7.38
87;26/12/2000;7.37
88;27/12/2000;7.36
89;28/12/2000;7.36
90;29/12/2000;7.35
91;30/12/2000;7.35
92;31/12/2000;7.33
93;01/01/2001;7.32
94;02/01/2001;7.31
95;03/01/2001;7.3
96;04/01/2001;7.3
97;05/01/2001;7.29
98;06/01/2001;7.29
99;07/01/2001;7.28
100;08/01/2001;7.27
101;09/01/2001;7.26
102;10/01/2001;7.25
103;11/01/2001;7.24
104;12/01/2001;7.24
105;13/01/2001;7.22
106;14/01/2001;7.22
107;15/01/2001;7.21
108;16/01/2001;7.21
109;17/01/2001;7.2
110;18/01/2001;7.19
111;19/01/2001;7.19
112;20/01/2001;7.2
113;21/01/2001;7.21
114;22/01/2001;7.21
115;23/01/2001;7.21
116;24/01/2001;7.2
117;25/01/2001;7.19
118;26/01/2001;7.18
119;27/01/2001;7.18
120;28/01/2001;7.17
121;29/01/2001;7.16
122;30/01/2001;7.15
123;31/01/2001;7.14
124;01/02/2001;7.13
125;02/02/2001;7.12
126;03/02/2001;7.11
127;04/02/2001;7.1
128;05/02/2001;7.1
129;06/02/2001;7.07
130;07/02/2001;7.06
131;08/02/2001;7.04
132;09/02/2001;7.03
133;10/02/2001;7.02
134;11/02/2001;7.01
135;12/02/2001;6.99
136;13/02/2001;6.97
137;14/02/2001;6.94
138;15/02/2001;6.92
139;16/02/2001;6.9
140;17/02/2001;6.87
141;18/02/2001;6.83
142;19/02/2001;6.79
143;20/02/2001;6.75
144;21/02/2001;6.71
145;22/02/2001;6.66
146;23/02/2001;6.62
147;24/02/2001;6.58
148;25/02/2001;6.54
149;26/02/2001;6.51
150;27/02/2001;6.48
151;28/02/2001;6.45
152;01/03/2001;6.42
153;02/03/2001;6.38
154;03/03/2001;6.35
155;04/03/2001;6.34
156;05/03/2001;6.42
157;06/03/2001;6.38
158;07/03/2001;6.34
159;08/03/2001;6.31
160;09/03/2001;6.29
161;10/03/2001;6.28
162;11/03/2001;6.26
163;12/03/2001;6.24
164;13/03/2001;6.22
165;14/03/2001;6.19
166;15/03/2001;6.17
167;16/03/2001;6.14
168;17/03/2001;6.12
169;18/03/2001;6.19
170;19/03/2001;6.29
171;20/03/2001;6.4
172;21/03/2001;6.36
173;22/03/2001;6.32
174;23/03/2001;6.28
175;24/03/2001;6.26
