step;amount;oldbalanceOrg;newbalanceOrig;oldbalanceDest;newbalanceDest;type_num;isFlaggedFraud;isFraud;type;nameOrig;nameDest
1;128022.19;7430051.5;7558073.69;2756959.24;2107778.11;1;0;0;CASH_IN;C1028472807;C1286084959
1;6990.18;60911.31;53921.13;0;0;4;0;0;PAYMENT;C1101721002;M809128217
1;20128;20128;0;6268;12145.85;2;0;1;CASH_OUT;C1118430673;C339924917
1;92784.06;3042194.68;3134978.74;119296.99;22233.65;1;0;0;CASH_IN;C1130551263;C1761291320
1;9839.64;170136;160296.36;0;0;4;0;0;PAYMENT;C1231006815;M1979787155
1;8679.29;150592;141912.71;21056;0;3;0;0;DEBIT;C1233505227;C1877453512
1;25071.46;25071.46;0;9083.76;34155.22;2;0;1;CASH_OUT;C1275464847;C1364913072
1;19644.08;76008.06;56363.98;0;0;4;0;0;PAYMENT;C130166095;M1599674462
1;181;181;0;0;0;5;0;1;TRANSFER;C1305486145;C553264065
1;1277212.77;1277212.77;0;0;0;5;0;1;TRANSFER;C1334405552;C431687661
1;35063.63;35063.63;0;0;0;5;0;1;TRANSFER;C1364127192;C1136419747
1;132842.64;4499.08;0;0;132842.64;2;0;1;CASH_OUT;C13692003;C297927961
1;20128;20128;0;0;0;5;0;1;TRANSFER;C137533655;C1848415041
1;2232.83;215507;213274.17;0;0;4;0;0;PAYMENT;C138708980;M201069753
1;6899.83;1004;0;0;0;4;0;0;PAYMENT;C1415545023;M1727424614
1;2806;2806;0;0;0;5;0;1;TRANSFER;C1420196421;C972765878
1;235238.66;235238.66;0;0;235238.66;2;0;1;CASH_OUT;C1499825229;C2100440237
1;258938.11;3384041.09;3642979.2;955476.46;897150.84;1;0;0;CASH_IN;C1553077867;C728885526
1;540789.56;18130;0;1538532.42;1412484.09;2;0;0;CASH_OUT;C1609086753;C1023714065
1;178439.26;0;0;278846.75;1186556.81;2;0;0;CASH_OUT;C1634723627;C2083562754
1;35063.63;35063.63;0;31140;7550.03;2;0;1;CASH_OUT;C1635772897;C1983025922
1;5307.88;0;0;0;0;4;0;0;PAYMENT;C1768242710;M1971783162
1;9614.73;275664;266049.27;0;0;4;0;0;PAYMENT;C1789282489;M600199331
1;1045.63;26411.48;25365.85;0;0;4;0;0;PAYMENT;C1851255134;M659937029
1;235238.66;235238.66;0;0;0;5;0;1;TRANSFER;C1872047468;C116289363
1;2821.51;0;0;0;0;4;0;0;PAYMENT;C1919125229;M1688150025
1;2419.45;331099.74;328680.29;0;0;4;0;0;PAYMENT;C1921553024;M1617937669
1;1006.76;696008;695001.24;0;0;4;0;0;PAYMENT;C2054451662;M673672784
1;2806;2806;0;26202;0;2;0;1;CASH_OUT;C2101527076;C1007251739
1;301706.01;33251;0;1594.8;502480.02;5;0;0;TRANSFER;C211199210;C884457408
1;154160.82;5072751.28;5226912.1;157376;0;1;0;0;CASH_IN;C263833514;C503195940
1;5998;164;0;0;0;4;0;0;PAYMENT;C302987494;M2047744862
1;3283.87;5338019.35;5334735.48;0;0;4;0;0;PAYMENT;C310792845;M1019348343
1;5485.04;0;0;0;0;4;0;0;PAYMENT;C32393008;M1504083002
1;55536.86;0;0;915902.37;3420103.09;5;0;0;TRANSFER;C332365138;C392292416
1;126950.91;1997212.32;2124163.23;1091231.39;483173.63;1;0;0;CASH_IN;C356005505;C22805895
1;1277212.77;1277212.77;0;0;2444985.19;2;0;1;CASH_OUT;C467632528;C716083600
1;232720.95;3798928.38;4031649.33;1789755.77;1155321.27;1;0;0;CASH_IN;C523331047;C1360767589
1;9460.66;204975;195514.34;0;0;4;0;0;PAYMENT;C65438140;M1544147328
1;25071.46;25071.46;0;0;0;5;0;1;TRANSFER;C669700766;C1384210339
1;12911.82;51485;38573.18;0;0;4;0;0;PAYMENT;C689448569;M1472036907
1;416001.33;0;0;102;9291619.62;2;0;1;CASH_OUT;C749981943;C667346055
1;287126.8;6213989.38;6501116.17;790976.57;138395.49;1;0;0;CASH_IN;C770669178;C33524623
1;181;181;0;21182;0;2;0;1;CASH_OUT;C840083671;C38997010
1;247575.4;5790179.68;6037755.07;8291485.93;1.25E+16;1;0;0;CASH_IN;C842331982;C1262822392
1;17851.54;0;0;32353;0;2;0;0;CASH_OUT;C929706284;C824208363
1;652.67;280;0;0;0;4;0;0;PAYMENT;C951677655;M1396292525
1;223123.71;5033779.71;5256903.42;394281.87;16518.36;1;0;0;CASH_IN;C951988316;C1359044626
2;1096187.24;1096187.24;0;0;0;5;0;1;TRANSFER;C1093223281;C2063275841
2;10967.1;284175.6;273208.5;0;0;4;0;0;PAYMENT;C1153256202;M1811975204
2;4957.02;27101;22143.98;0;0;4;0;0;PAYMENT;C1194587893;M1825228532
2;6517.62;0;0;0;0;4;0;0;PAYMENT;C1209358542;M644399750
2;18627.02;18627.02;0;0;0;5;0;1;TRANSFER;C1375503918;C234430897
2;14949.84;14949.84;0;0;0;5;0;1;TRANSFER;C140702728;C634210724
2;208366.03;8271112.67;8479478.7;2980462.29;2798692.37;1;0;0;CASH_IN;C142941409;C1782113663
2;963532.14;963532.14;0;0;0;5;0;1;TRANSFER;C1440057381;C268086000
2;185611.95;0;0;691589.53;877201.48;2;0;0;CASH_OUT;C1480805145;C1899073220
2;2830.73;263;0;0;0;4;0;0;PAYMENT;C1650299186;M2004305265
2;18627.02;18627.02;0;147251.58;165878.6;2;0;1;CASH_OUT;C175961135;C1711105800
