GEOCOD;POP;X;Y
353060705000096;986;-46,196;-23,551
353060705000097;842;-46,198;-23,548
353060705000098;1508;-46,163;-23,531
353060705000099;800;-46,161;-23,530
353060705000100;889;-46,160;-23,531
353060705000101;1244;-46,169;-23,534
353060705000102;1914;-46,172;-23,539
353060705000103;1357;-46,176;-23,541
353060705000104;1197;-46,180;-23,542
353060705000105;1862;-46,181;-23,546
353060705000106;963;-46,187;-23,552
353060705000107;1088;-46,191;-23,551
353060705000108;645;-46,187;-23,547
353060705000001;100;-46,197;-23,523
353060705000002;378;-46,194;-23,522
353060705000003;311;-46,192;-23,524
353060705000004;736;-46,196;-23,526
353060705000005;264;-46,201;-23,524
353060705000006;500;-46,198;-23,520
353060705000007;929;-46,195;-23,518
353060705000008;256;-46,192;-23,521
353060705000009;615;-46,192;-23,526
353060705000010;643;-46,194;-23,528
353060705000011;498;-46,196;-23,530
353060705000012;287;-46,200;-23,527
353060705000013;779;-46,200;-23,521
353060705000014;937;-46,198;-23,517
353060705000015;762;-46,195;-23,511
353060705000016;697;-46,193;-23,515
353060705000017;515;-46,191;-23,517
353060705000018;517;-46,190;-23,518
353060705000019;622;-46,189;-23,520
353060705000020;244;-46,188;-23,522
353060705000021;448;-46,188;-23,524
353060705000022;677;-46,190;-23,525
353060705000023;884;-46,190;-23,528
353060705000024;519;-46,192;-23,529
353060705000025;857;-46,193;-23,533
353060705000026;1117;-46,196;-23,536
353060705000027;929;-46,197;-23,532
353060705000028;779;-46,200;-23,534
353060705000029;762;-46,202;-23,530
353060705000030;578;-46,205;-23,528
353060705000031;764;-46,203;-23,523
353060705000032;736;-46,204;-23,518
353060705000033;981;-46,199;-23,514
353060705000034;637;-46,189;-23,513
353060705000035;477;-46,182;-23,517
353060705000036;453;-46,182;-23,520
353060705000037;583;-46,183;-23,523
353060705000038;585;-46,195;-23,533
353060705000039;944;-46,185;-23,526
353060705000040;633;-46,187;-23,526
353060705000041;683;-46,185;-23,530
353060705000042;685;-46,187;-23,529
353060705000043;865;-46,186;-23,532
353060705000044;1096;-46,189;-23,532
353060705000045;940;-46,191;-23,535
353060705000046;1028;-46,192;-23,540
353060705000047;1076;-46,196;-23,543
353060705000048;904;-46,197;-23,541
353060705000049;1116;-46,204;-23,537
353060705000050;511;-46,203;-23,534
353060705000051;626;-46,207;-23,532
353060705000052;816;-46,209;-23,530
353060705000053;907;-46,205;-23,522
353060705000054;1018;-46,207;-23,520
353060705000055;1061;-46,208;-23,517
353060705000056;526;-46,185;-23,506
353060705000057;546;-46,179;-23,519
353060705000058;614;-46,177;-23,523
353060705000059;825;-46,180;-23,526
353060705000060;999;-46,181;-23,529
353060705000061;912;-46,184;-23,528
353060705000062;1047;-46,184;-23,532
353060705000063;1074;-46,184;-23,535
353060705000064;800;-46,189;-23,536
353060705000065;1077;-46,189;-23,538
353060705000066;653;-46,198;-23,542
353060705000067;526;-46,200;-23,539
353060705000068;867;-46,203;-23,540
353060705000069;789;-46,206;-23,538
353060705000070;773;-46,209;-23,537
353060705000071;920;-46,212;-23,537
353060705000072;1301;-46,214;-23,535
353060705000073;791;-46,214;-23,525
353060705000074;550;-46,172;-23,515
353060705000075;531;-46,173;-23,517
353060705000076;966;-46,173;-23,521
353060705000077;1039;-46,176;-23,525
353060705000078;1028;-46,173;-23,532
353060705000079;1030;-46,178;-23,532
353060705000080;1179;-46,180;-23,533
353060705000081;1375;-46,179;-23,536
353060705000082;1196;-46,182;-23,537
353060705000083;903;-46,186;-23,537
353060705000084;1247;-46,187;-23,540
353060705000085;896;-46,166;-23,520
353060705000086;1010;-46,165;-23,523
353060705000087;922;-46,168;-23,524
353060705000088;1448;-46,171;-23,527
353060705000089;1345;-46,174;-23,535
353060705000090;824;-46,177;-23,534
353060705000091;1179;-46,178;-23,540
353060705000092;1110;-46,181;-23,540
353060705000093;981;-46,184;-23,539
353060705000094;700;-46,188;-23,544
353060705000095;610;-46,192;-23,543
353060705000109;1291;-46,204;-23,513
353060705000110;1129;-46,200;-23,510
353060705000111;1316;-46,196;-23,506
353060705000112;737;-46,189;-23,503
353060705000113;1101;-46,184;-23,499
353060705000114;781;-46,183;-23,495
353060705000115;692;-46,184;-23,496
353060705000116;809;-46,181;-23,495
353060705000117;803;-46,180;-23,494
353060705000118;870;-46,178;-23,496
353060705000119;710;-46,179;-23,496
353060705000120;682;-46,179;-23,497
353060705000121;682;-46,180;-23,498
353060705000122;1318;-46,179;-23,501
353060705000123;1022;-46,243;-23,509
353060705000124;3;-46,243;-23,511
353060705000125;974;-46,216;-23,514
353060705000126;922;-46,223;-23,496
353060705000127;763;-46,212;-23,486
353060705000128;627;-46,183;-23,480
353060705000129;370;-46,146;-23,556
353060705000130;839;-46,163;-23,540
353060705000131;1060;-46,165;-23,540
353060705000132;1310;-46,174;-23,548
353060705000133;870;-46,180;-23,555
353060705000134;584;-46,181;-23,565
353060705000135;1588;-46,188;-23,560
353060705000136;346;-46,159;-23,551
353060705000137;736;-46,173;-23,567
353060705000138;1139;-46,187;-23,568
353060705000139;534;-46,166;-23,582
353060705000140;1862;-46,186;-23,581
353060705000141;715;-46,186;-23,510
353060705000142;502;-46,177;-23,517
353060705000143;618;-46,194;-23,542
353060705000144;537;-46,198;-23,547
353060705000145;810;-46,198;-23,544
353060705000146;828;-46,179;-23,509
353060705000147;1097;-46,199;-23,537
353060705000148;812;-46,211;-23,531
353060705000149;717;-46,171;-23,517
353060705000150;613;-46,184;-23,542
353060705000151;527;-46,163;-23,532
353060705000152;921;-46,192;-23,547
353060705000153;787;-46,172;-23,548
353060705000154;1147;-46,179;-23,560
353060705000155;198;-46,174;-23,594
353060705000156;792;-46,287;-23,485
353060705000157;788;-46,288;-23,487
353060705000158;1328;-46,280;-23,478
353060705000159;980;-46,282;-23,462
353060705000160;978;-46,284;-23,465
353060705000161;868;-46,263;-23,464
353060705000162;230;-46,248;-23,436
353060705000163;305;-46,216;-23,428
353060705000164;634;-46,159;-23,353
353060705000165;259;-46,200;-23,455
353060705000166;978;-46,284;-23,483
353060705000167;1555;-46,277;-23,464
353060705000168;516;-46,252;-23,469
353060705000169;648;-46,261;-23,479
353060705000170;483;-46,241;-23,428
353060705000171;1021;-46,164;-23,361
353060705000172;719;-46,117;-23,563
353060705000173;269;-46,094;-23,583
353060705000174;1013;-46,108;-23,592
353060705000175;324;-46,124;-23,607
353060705000176;490;-46,151;-23,612
353060705000177;696;-46,140;-23,579
353060705000178;388;-46,252;-23,482
353060705000179;117;-46,252;-23,461
353060705000180;398;-46,234;-23,404
353060705000181;770;-46,193;-23,382
353060705000182;355;-46,168;-23,374
353060705000183;865;-46,181;-23,413
353060705000184;277;-46,221;-23,457
353060705000185;655;-46,191;-23,531
353060705000186;391;-46,199;-23,532
353060705000187;392;-46,201;-23,533
353060705000188;718;-46,183;-23,511
353060705000189;0;-46,181;-23,503
353060705000190;533;-46,176;-23,520
353060705000191;456;-46,179;-23,521
353060705000192;502;-46,188;-23,534
353060705000193;608;-46,200;-23,542
353060705000194;710;-46,200;-23,541
353060705000195;526;-46,209;-23,536
353060705000196;118;-46,170;-23,515
353060705000197;386;-46,175;-23,517
353060705000198;970;-46,177;-23,530
353060705000199;275;-46,179;-23,532
353060705000200;380;-46,177;-23,536
353060705000201;697;-46,191;-23,544
353060705000202;819;-46,194;-23,545
353060705000203;526;-46,195;-23,548
353060705000204;628;-46,170;-23,533
353060705000205;538;-46,185;-23,547
353060705000206;645;-46,192;-23,504
353060705000207;698;-46,184;-23,497
353060705000208;980;-46,210;-23,512
353060705000209;548;-46,165;-23,541
353060705000210;875;-46,183;-23,561
353060705000211;559;-46,169;-23,543
353060705000212;442;-46,195;-23,531
353060705000213;464;-46,189;-23,519
353060705000214;0;-46,188;-23,510
353060705000215;403;-46,256;-23,467
353060705000216;588;-46,256;-23,473
353060705000217;1041;-46,262;-23,476
353060705000218;590;-46,269;-23,464
353060705000219;70;-46,161;-23,585
353060705000220;140;-46,256;-23,497
353060705000221;184;-46,252;-23,477
353060705000222;22;-46,268;-23,478
353060705000223;0;-46,277;-23,481
353060705000224;31;-46,276;-23,475
353060705000225;0;-46,281;-23,484
353060705000226;14;-46,256;-23,450
353060705000227;93;-46,271;-23,451
353060705000228;162;-46,224;-23,410
353060705000229;78;-46,241;-23,472
353060705000230;59;-46,237;-23,452
353060705000231;789;-46,189;-23,568
353060705000232;85;-46,207;-23,404
353060705000233;321;-46,184;-23,447
353060705000234;315;-46,142;-23,595
353060705000235;893;-46,178;-23,603
353060705000236;1340;-46,284;-23,486
353060707000001;874;-46,119;-23,637
353060707000002;887;-46,126;-23,641
353060707000003;718;-46,136;-23,638
353060707000004;377;-46,140;-23,650
353060707000005;283;-46,132;-23,667
353060707000006;541;-46,123;-23,701
353060707000007;181;-46,110;-23,622
353060707000008;414;-46,103;-23,646
353060707000009;91;-46,140;-23,626
353060707000010;364;-46,102;-23,672
353060710000001;774;-46,223;-23,537
353060710000002;965;-46,220;-23,539
353060710000003;854;-46,222;-23,540
